anomaly_pattern,anomaly_point,change_point,timestamp,value
0,0,0,14/11/2017 07:18:58,930.4347826
0,0,0,14/11/2017 07:30:59,930.4347826
0,0,0,14/11/2017 09:07:37,930.4347826
0,0,0,14/11/2017 09:59:00,921.7391304
0,0,0,14/11/2017 10:44:15,930.4347826
0,0,0,14/11/2017 11:21:54,930.4347826
0,0,0,14/11/2017 12:21:24,930.4347826
0,0,0,14/11/2017 12:22:14,930.4347826
0,0,0,14/11/2017 12:24:28,930.4347826
0,0,0,14/11/2017 12:34:38,930.4347826
0,0,0,14/11/2017 12:38:04,930.4347826
0,0,0,14/11/2017 12:39:52,930.4347826
0,0,0,14/11/2017 12:51:40,930.4347826
0,0,0,14/11/2017 13:01:58,930.4347826
0,0,0,14/11/2017 14:03:11,930.4347826
0,0,0,14/11/2017 14:24:15,921.7391304
0,0,0,14/11/2017 14:30:16,921.7391304
0,0,0,14/11/2017 14:48:41,921.7391304
0,0,0,14/11/2017 16:55:48,921.7391304
0,0,0,14/11/2017 17:30:27,921.7391304
0,0,0,14/11/2017 18:49:32,921.7391304
0,0,0,14/11/2017 19:13:35,921.7391304
0,0,0,14/11/2017 21:02:31,921.7391304
0,0,0,14/11/2017 23:17:34,921.7391304
0,0,0,14/11/2017 23:18:22,921.7391304
0,0,0,15/11/2017 01:02:44,913.0434783
0,0,0,15/11/2017 02:30:59,913.0434783
0,0,0,15/11/2017 02:33:37,913.0434783
0,0,0,15/11/2017 02:54:28,913.0434783
0,0,0,15/11/2017 03:26:08,904.3478261
0,0,0,15/11/2017 04:20:09,904.3478261
0,0,0,15/11/2017 04:26:17,904.3478261
0,0,0,15/11/2017 05:23:25,904.3478261
0,0,0,15/11/2017 05:56:20,904.3478261
0,0,0,15/11/2017 06:35:02,895.6521739
0,0,0,15/11/2017 06:37:47,895.6521739
0,0,0,15/11/2017 06:48:06,895.6521739
0,0,0,15/11/2017 07:06:22,895.6521739
0,0,0,15/11/2017 07:27:03,895.6521739
0,0,0,15/11/2017 07:40:38,895.6521739
0,0,0,15/11/2017 08:26:57,895.6521739
0,0,0,15/11/2017 13:02:20,886.9565217
0,0,0,15/11/2017 13:18:07,886.9565217
0,0,0,15/11/2017 13:20:23,886.9565217
0,0,0,15/11/2017 17:38:13,886.9565217
0,0,0,15/11/2017 18:20:30,878.2608696
0,0,0,15/11/2017 18:35:05,878.2608696
0,0,0,15/11/2017 20:18:55,878.2608696
0,0,0,15/11/2017 20:55:10,878.2608696
0,0,0,16/11/2017 00:13:25,869.5652174
